Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Sharad Prakash Asthana,21st Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-ecs-order-on-assembly-elections-in-five-states-going-viral-with-false-claims/,Fact Check: EC’s Order On Assembly Elections In Five States Going Viral With False Claims,https://perma.cc/9T7S-ATVL,Facebook page 'Dist. Congress Committee Ajmer',"Assembly elections have been announced in Mizoram, Chhattisgarh, Madhya Pradesh, Rajasthan and Telangana.",assembly elections in five states,Election Commission of India,English 
Devika Mehta,14th Jul 2023,https://www.vishvasnews.com/english/viral/fact-check-post-offering-bard-ai-tool-download-link-poses-malware-risk/,Fact Check: Post Offering Bard AI Tool Download Link Poses Malware Risk,https://www.facebook.com/Bard.Ai.Business/posts/pfbid0d7WKFxqijEEb7RFaC3boj8J6it9c5UCP9wAfmrxjSEC4y4EoYvWU95Hx4fjaKU98l,Bard for Business,Google Bard AI public tool download link is available,Google Bard tool,Google,English 
Ashish Maharishi,12th Jul 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-clip-not-of-congress-leader-udit-raj-old-video-of-tripura-mla-shared-with-misleading-claim/,"Fact Check: Viral Clip Not Of Congress Leader Udit Raj, Old Video Of Tripura MLA Shared With Misleading Claim",https://perma.cc/N6GQ-DR9F,"Facebook user Om Dutt posted a video on July 9, claiming,",Respected Dr Sahab Mr Udit Raj Bhai inaugurating the match,Politics,Udit Raj,English 
Ashish Maharishi,11th Jul 2023,https://www.vishvasnews.com/english/viral/fact-check-random-image-of-a-girl-going-viral-as-womens-cricketer-rashi-kanojia/,Fact Check: Random Image Of A Girl Going Viral As Women’s Cricketer Rashi Kanojia,https://perma.cc/K7LQ-4UT5,Facebook user Chaudhary Upendra Singh,Agra’s daughter” Rashi Kanojia on being selected for the Indian women’s cricket team,Sports,Rashi Kanojia,English 
Sharad Prakash Asthana,6th Jul 2023,https://www.vishvasnews.com/english/viral/fact-check-up-govt-official-jyoti-maurya-not-removed-from-her-position-viral-claim-is-false/,"Fact-Check: UP Govt Official Jyoti Maurya Not Removed From Her Position, Viral Claim Is False",https://www.facebook.com/permalink.php?story_fbid=pfbid034TU9zJH2kkus6agjpUhwZGkqYs8HHRqsWewvizJFLK77tvCrJpCE2veHZxwgGnpGl&id=100064003861948,FB User-Haq Ki Awaaz,Jyoti Maurya has been removed from her post.,Removed from SDM Post,Jyoti Maurya,English 
Ashish Maharishi,20th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-2021-jamnagar-flood-shared-as-visuals-from-cyclone-biparjoy/,Fact Check: Old Video Of 2021 Jamnagar Flood Shared As Visuals From Cyclone Biparjoy,https://www.facebook.com/100051851059889/videos/566517109025941,Facebook user Vinod Sharma,Biparjoy cyclone impact Ghudsia village…Jamnagar..Gujarat,Weather,Jamnagar,English 
Sharad Prakash Asthana,16th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-video-of-elephants-from-west-bengal-going-viral-with-misleading-claim/,Fact Check: Video Of Elephants From West Bengal Going Viral With Misleading Claim,https://perma.cc/GYU6-YSY9,FB User- News Today Network,"a herd of elephants suddenly came on the road on Sitavani Road in Ramnagar, Nainital, due to which two people riding the bike got panicked and fell off the bike. ",Group of elephants,Nainital,English 
Sharad Prakash Asthana,15th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-no-communal-angle-in-assault-on-pilgrims-by-mule-operators-in-kedarnath/,Fact Check: No Communal Angle In Assault On Pilgrims By Mule Operators In Kedarnath,https://perma.cc/XR3G-YNNS,FB User- Sanjay Tiwari,Muslim horse and mule handlers thrashed Chardham pilgrims in Kedarnath.,Communal Fight,Kedarnath,English 
Umam Noor,13th Jun 2023,https://www.vishvasnews.com/english/world/fact-check-mia-khalifa-did-not-deliver-lecture-at-pakistans-shah-abdul-latif-university-viral-picture-is-from-oxford/,"Fact Check: Mia Khalifa Did Not Deliver Lecture At Pakistan’s Shah Abdul Latif University, Viral Picture Is From Oxford",https://www.facebook.com/photo?fbid=1007324297294773&set=a.108880957139116,FB User: ناد حسین,Mia Khalifa Deliver Lecture At Pakistan’s Shah Abdul Latif University,Mia Khalifa Deliver Lecture At Pakistan’s Shah Abdul Latif University,Mia Khalifa,English 
Ashish Maharishi,12th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-protest-against-agneepath-scheme-going-viral-with-misleading-claim/,Fact-Check: Old video of protest against Agneepath scheme going viral with misleading claim,https://www.facebook.com/harendra.prajapati.169/posts/821569709395493/,Fb user: Harendra Prajapati,The election of 2024 is coming and the anti-Modi people have come to their senses.,Against Modi,Narendra Modi,English 
Ashish Maharishi,9th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-hyderabad-train-crash-going-viral-in-the-name-of-odisha-train-accident/,Fact-Check: Old video of Hyderabad train crash going viral in the name of Odisha train accident,https://www.facebook.com/100063792924874/posts/6389177951104673/,Fb page: JK Update,Odisha train accident,Accident,Train,English 
Ashish Maharishi,7th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-message-claiming-10-railway-rules-will-change-from-july-1-is-misleading/,Fact-Check: Viral message claiming 10 railway rules will change from July 1 is misleading,https://perma.cc/7CTA-BPBZ,Fb user: Atapi & Rahul Vlogs,"From July 1st, 2023 these 10 rules of railways changed….",Indian Railway,New Rule,English 
Ashish Maharishi,5th Jun 2023,https://www.vishvasnews.com/english/world/fact-check-image-from-spain-shared-as-that-of-chennai-super-kings-and-dhoni-fans-viral-claim-false/,"Fact Check: Image from Spain shared as that of Chennai Super Kings and Dhoni fans, viral claim false",https://www.facebook.com/carryonJayhind/posts/pfbid0yfct9t4oxPi7WboePpCawaHi65HhccGD2Jar8MuVBmjutWog9Mb8Jp5izwF9W2F8l,Fb user: Swadeshi Kalam,People are more crazy about Dhoni than the match,Sports,MS Dhoni ,English 
Jyoti,30th May 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-image-of-wrestlers-vinesh-and-sangeeta-phogat-manipulated-using-ai-shared-with-misleading-claim/,"Fact Check: Viral image of wrestlers Vinesh and Sangeeta Phogat manipulated using AI, shared with misleading claim",https://www.facebook.com/photo/?fbid=206856895568519&set=a.102211516033058,Fb user: Arjun Pandit Sherda,Vinesh Phogat and Sangeeta Phogat can be seen smiling at the police as they sit inside a bus.,Wrestlers  protest,Vinesh & Sangeeta Phogat,English 
Ashish Maharishi,26th May 2023,https://www.vishvasnews.com/english/viral/fact-check-mentally-ill-girl-threw-eggs-on-lord-rams-posters-viral-claim-is-misleading/,"Fact-Check: Mentally ill girl threw eggs on Lord Ram’s posters, viral claim is misleading",https://www.facebook.com/ranveer.negi.501/posts/pfbid0CjKHArvL23WnX58wzTs39WKQ9vo4JsRDB6RqAhp4EMpFByzdKEwPvo7PpAH1WCeKl,Fb user: Ranveer Singh Negi,Why does the burqa clad woman hate Lord Shriram so much,Communal,Muslim Women,English 
Devika Mehta,24th May 2023,https://www.vishvasnews.com/english/world/fact-check-ai-generated-image-claiming-to-show-an-explosion-near-pentagon-is-fake/,Fact Check: AI-generated image claiming to show an explosion near Pentagon is fake,https://www.facebook.com/kashmirabtak/posts/pfbid02DKcCmkHbmnZpHc3QqrjxYtyT3M6xBed56285ZbGFQJ9xvvLjy5phGaUdQtSGP8dQl,Fb Page: Kashmir Abtak News,Huge explosion near Pentagon,Pentagon blast,US,English 
Sharad Prakash Asthana,24th May 2023,https://www.vishvasnews.com/english/politics/fact-check-old-video-from-sri-lanka-going-viral-with-misleading-communal-claims-on-kerala/,Fact Check: Old video from Sri Lanka going viral with misleading communal claims on Kerala,https://perma.cc/V7PF-7V4C,Twitter user: Munna Yadav,Muslims kill Hindus in this way in Kerala,Hate Crime,Kerala,English 
Sharad Prakash Asthana,22nd May 2023,https://www.vishvasnews.com/english/politics/fact-check-edited-photos-of-rahul-gandhi-and-prime-minister-narendra-modi-going-viral-on-social-media/,Fact-Check: Edited photos of Rahul Gandhi and Prime Minister Narendra Modi going viral on social media,https://www.facebook.com/permalink.php?story_fbid=pfbid02Hya7arsfzFmumWZDErJKCHnaLCPGHEPdkWpsp9CKUkTUxGxi3ycz36WpuACKYAtEl&id=100050242580058,Fb user: Ratnesh Dwivedi Nirwari,photos of PM Modi and Congress leader Rahul Gandhi are going viral on social media,PM and Congress Leader,Narendra Modi. Rahul Gandhi,English 
Ashish Maharishi,18th May 2023,https://www.vishvasnews.com/english/politics/fact-check-old-video-of-rahul-gandhis-bharat-jodo-yatra-in-dausa-going-viral-with-misleading-claim/,Fact-Check: Old video of Rahul Gandhi’s Bharat Jodo Yatra in Dausa going viral with misleading claim,https://twitter.com/Veergurjarsena1/status/1656589500817240064,Twitter community:,"holding the tricolor in the hands, the mass struggle begins with the proclamation of Bharat Mata Ki Jai against corruption.",Politics,sachin pilot,English 
Ashish Maharishi,18th May 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-post-related-to-dhirendra-shastri-of-bageshwar-dham-is-misleading/,Fact-Check: Viral post related to Dhirendra Shastri of Bageshwar Dham is misleading,https://www.facebook.com/permalink.php?story_fbid=pfbid0HAVzTKeNFiipuGoKvC5VdYv1No6T2sjBZpvKe2DfGdAnkZiT3rGdgL6D51xhvREMl&id=100072360261126,Fb user: Yashvi Oswal,"Had yajman asked Dhirendra Shastri earlier, he would have told him that his disciple will soon take your wife away…",religion,Dhirendra Shastri,English 
Pragya Shukla,9th May 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-pre-poll-data-shared-as-ndtv-opinion-poll-on-karnataka-election-is-fake/,Fact Check: Viral pre-poll data shared as NDTV opinion poll on Karnataka election is fake,https://twitter.com/SpiritOfCongres/status/1653422822956597254,Twitter User:, Congress is going to win the Karnataka polls this time with a huge majority.: NDTV pre-poll,NDTV opinion poll,NA,English 
Sharad Prakash Asthana,5th May 2023,https://www.vishvasnews.com/english/world/fact-check-viral-photo-of-plane-submerged-in-water-is-not-of-malaysia-airlines-aircraft-mh-370/,Fact Check: Viral photo of plane submerged in water is not of Malaysia Airlines aircraft MH-370,https://www.facebook.com/robbiethuo123.0/posts/pfbid0aCdMymXnPTbAmqVSwhwKvLimqUAGUesth9AkyWo8shvyoT3C4yuX2CrxGQyP1AtTl,Fb user: Laban Thuo,Malaysia Airplane MH370 that disappeared 9 years ago has been found under the ocean with no human skeleton,plane submerged in water,Malaysia Airlines,English 
Devika Mehta,2nd May 2023,https://www.vishvasnews.com/english/viral/fact-check-east-india-company-did-not-issue-any-coin-with-hindu-gods-images-viral-claim-is-fake/,"Fact Check: East India Company did not issue any coin with Hindu gods’ images, viral claim is fake",https://www.facebook.com/search/posts?q=Coin%20was%20released%20by%20East%20India%20Company%20in%201839&filters=eyJyZWNlbnRfcG9zdHM6MCI6IntcIm5hbWVcIjpcInJlY2VudF9wb3N0c1wiLFwiYXJnc1wiOlwiXCJ9In0%3D,Nishith Sharma,East India Company issued coins with Hindu gods’ images,Hindu Gods,NA,English 
Devika Mehta,27th Apr 2023,https://www.vishvasnews.com/english/viral/fact-check-sikkim-avalanche-video-is-viral-with-misleading-claims-about-manali-amarnath/,"Fact Check: Sikkim avalanche video is viral with misleading claims about Manali, Amarnath",https://www.facebook.com/reel/131344493252188/?s=fb_shorts_tab&stack_idx=0,Fb user: Sarvjot Locham,Avalanche has occurred in the Kullu-Manali region of Himachal Pradesh,Sikkim avalanche video,NA,English 
Ashish Maharishi,20th Apr 2023,https://www.vishvasnews.com/english/world/fact-check-video-of-swami-yogananda-being-shared-in-the-name-of-swami-vivekananda-viral-claim-false/,Fact Check: Video of Swami Yogananda being shared in the name of Swami Vivekananda; viral claim false,https://perma.cc/J2F7-PJNQ,Fb user: Madhusudhan Bojja,Rare video of Swami Vivekananda,religion,Swami Vivekanad,English 
Devika Mehta,19th Apr 2023,https://www.vishvasnews.com/english/world/fact-check-chinese-robots-dancing-at-disneyland-are-actually-humans-claim-is-fake/,Fact Check: ‘Chinese robots dancing at Disneyland’ are actually humans; claim is fake,https://www.facebook.com/reel/185257064318700,Fb user: Dory Dcruz,Chinese robots dancing at Shanghai Disneyland,Chinese robots,NA,English 
Sharad Prakash Asthana,18th Apr 2023,https://www.vishvasnews.com/english/viral/fact-check-fake-claim-of-lockdown-going-viral-amid-rising-cases-of-covid-19-in-india/,Fact Check: Fake claim of lockdown going viral amid rising cases of Covid-19 in India,Whatsapp,WhatsApp user,Complete lockdown in India from 12 midnight while a lockdown has been implemented in Delhi,Lockdown,Delhi,English 
Sharad Prakash Asthana,14th Apr 2023,https://www.vishvasnews.com/english/viral/fact-check-all-cadbury-products-made-and-sold-in-india-are-vegetarian-misleading-claim-goes-viral/,Fact Check: All Cadbury products made and sold in India are vegetarian; misleading claim goes viral,https://www.facebook.com/vijay.gandharva.37/posts/940157550458258,Fb user: Vijay Gandharva,Cadbury has announced that all its products contain Halal-certified beef,cadbury products,India,English 
Devika Mehta,14th Apr 2023,https://www.vishvasnews.com/english/viral/fact-check-delhi-gurdwaras-free-dialysis-centre-is-not-opening-tomorrow-its-already-working/,"Fact Check: Delhi Gurdwara’s free dialysis centre is not ‘opening tomorrow’, it’s already working",https://www.facebook.com/mayank.srivastav.16940599/posts/pfbid02NBRGF53z6bhwwpFgPDgMoxY2PrM52RGvn65jfskbnABfL5d7U3qt1WD7JZp7XvSZl,Fb user: Mayak Srivastava,Delhi Gurdwara’s free dialysis centre is ‘opening tomorrow,Delhi Gurdwara’s free dialysis centre,NA,English 
Ashish Maharishi,6th Apr 2023,https://www.vishvasnews.com/english/politics/fact-check-sheikh-hasina-met-sonia-gandhi-manmohan-singh-during-2019-delhi-visit-pic-being-shared-with-misleading-claim/,"Fact Check: Sheikh Hasina met Sonia Gandhi, Manmohan Singh during 2019 Delhi visit, pic being shared with misleading claim",https://perma.cc/5ENY-TPUZ,फेसबुक पेज 'हिमाचल न्‍यूज नेटवर्क',यह तस्वीर तब की है जब मनमोहन सिंह प्रधानमंत्री थे और बांग्लादेश की विदेश यात्रा पर थे।,Politics,Sheikh Hasina ,English 
Devika Mehta,28th Mar 2023,https://www.vishvasnews.com/english/world/fact-check-conspiracy-theory-about-covid-19-vaccines-and-sterility-is-viral-again-2009-video-has-false-information/,Fact Check: Conspiracy theory about COVID-19 vaccines and sterility is viral again; 2009 video has false information,https://www.facebook.com/thegistofourlives/posts/896061187642721/,Fb user: Lukasz Igla,2009 show based on conspiracy theories is shared as proof of WHO working on COVID-19 vaccines to create permanent sterility,COVID vaccines,NA,English 
Devika Mehta,24th Mar 2023,https://www.vishvasnews.com/english/world/fact-check-deepfake-images-of-donald-trumps-arrest-create-chaos-on-social-media/,Fact Check: Deepfake images of Donald Trump’s arrest create chaos on social media,https://www.facebook.com/igleite/posts/pfbid0oNCgVMje3uqurj2zwzzd2txuowcxobrkoffWZLHoiYr428xonYb2pQFxsed1sXejl,Fb user: Imaculada Gouveia Leite,Donald Trump gets arrested in hush-money payment case.,Trump arrest,Donald Trump,English 
Ashish Maharishi,21st Mar 2023,https://www.vishvasnews.com/english/politics/fact-check-man-listening-to-mathura-bhi-saja-denge-in-viral-video-is-not-up-cm-yogi-adityanath/,Fact Check: Man listening to ‘Mathura bhi saja denge’ in viral video is not UP CM Yogi Adityanath,https://perma.cc/G3K6-A2Y9,Fb user: Laddu Yadav,गीत में ‘मथुरा भी सजा देंगे’ बजते ही महाराज जी का जोश देखकर लगता है कि उसका भी फैसला होकर ही रहेगा।,Bhajan,Yogi Adityanath,English 
Umam Noor,20th Mar 2023,https://www.vishvasnews.com/english/world/fact-check-no-ban-imposed-on-loudspeakers-in-saudi-arabia-viral-claim-is-misleading/,"Fact-Check: No ban imposed on loudspeakers in Saudi Arabia, viral claim is misleading",https://www.facebook.com/rssmritunjay23/posts/pfbid02TVV4brrP89pKrguNGCE6rDkK9aaC1Ughzrzpv5Zrwoa6Ta4osSmXkYY4BsLfcZGZl,Fb user: Mrityunjay Kumar, Ban imposed on loudspeakers in Saudi Arabia,Saudi Arab on Ramazan,Saudi Arab,English 
Devika Mehta,17th Mar 2023,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-sing-ram-bhajan-in-this-viral-post-its-by-a-popular-hymn-singer/,Fact Check: PM Modi did not sing Ram Bhajan in this viral post; it’s by a popular hymn singer,https://perma.cc/457V-ZKCX,Fb page: Goel Sir Classes,Ram Bhajan is sung by PM Narendra Modi.,Ram Bhajan,Narendra Modi,English 
Ashish Maharishi,16th Mar 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-picture-is-of-drawing-the-line-actor-silas-carson-and-not-of-jawahar-lal-nehru/,Fact-Check: Viral picture is of ‘drawing the line’ actor Silas Carson and not of Jawahar Lal Nehru,https://perma.cc/TK7K-5LXQ,Fb page: Bharat Bachao Andolan,My dear uncle trying to slit the throat of an English woman during the freedom struggl,Na,Jawaharlal Nehru,English 
Ashish Maharishi,15th Mar 2023,https://www.vishvasnews.com/english/politics/fact-check-viral-video-of-tte-misbehaving-with-passenger-is-from-delhi-patna-train-not-tamil-nadu/,"Fact-Check: Viral video Of TTE misbehaving with passenger is from Delhi-Patna train, not Tamil Nadu",https://perma.cc/V3M8-35DV,Fb page: Gorakhpuria,This is how some are giving TT tickets to Biharis fleeing Tamil Nadu,Indian Railway,Tamilnadu,English 
Devika Mehta,13th Mar 2023,https://www.vishvasnews.com/english/world/fact-check-video-of-bill-gatess-interview-with-abc-news-going-viral-on-social-media-is-digitally-altered/,Fact Check: Video of Bill Gates’s interview with ABC News going viral on social media is digitally altered,https://www.facebook.com/permalink.php?story_fbid=pfbid0VxL3JHpx9L9N5DFcnnSeC8WAToucWRBvW9dqBsxq9EAowUDyCPLmXYN6qG5GVWual&id=100089761202917,Fb user: Subra Applanaidu,"Bill Gates cornered by ABC News over COVID vaccine questions, gets irritated leave the interview",COVID Vaccines,Bill Gates,English 
Sharad Prakash Asthana,10th Mar 2023,https://www.vishvasnews.com/english/world/fact-check-postal-stamp-of-pm-modi-issued-by-turkey-in-2015-going-viral-with-misleading-claim/,Fact Check: Postal stamp of PM Modi issued by Turkey in 2015 going viral with misleading claim,https://www.facebook.com/groups/1590584664576195/posts/3097792393855407,Fb user: Ram Behari Gupta,Turkey issues PM Modi's stamp after India helped the nation in earthquake relief work.,Postal stamp of PM,Natrendra Modi,English 
Sharad Prakash Asthana,9th Mar 2023,https://www.vishvasnews.com/english/politics/fact-check-videos-of-rajasthan-karnataka-andhra-pradesh-viral-in-name-of-attacks-on-north-indians-in-tamil-nadu/,"Fact Check: Videos of Rajasthan, Karnataka, Andhra Pradesh viral in name of attacks on North Indians in Tamil Nadu",https://perma.cc/T3X6-RYHB,Jai Prakash Gupta,Several videos with allegations of violence against Hindi-speaking people are from Tamil Nadu,Hate Crime on north indian,Tamilnadu,English 
Sharad Prakash Asthana,7th Mar 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-letter-about-five-per-cent-service-tax-on-health-care-services-is-from-2011/,Fact Check: Viral letter about five per cent service tax on health care services is from 2011,https://perma.cc/8D8B-LYTU,Fb user: Bappa Mukherjee,AAP claims that Central government has proposed five per cent tax on all healthcare services in this year's Union Budget,5% service tax on health care,Dr Devi Shetty,English 
Ashish Maharishi,3rd Mar 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-newspaper-clipping-on-punjab-cm-bhagwant-mann-is-six-years-old-shared-with-misleading-claim/,"Fact Check: Viral newspaper clipping on Punjab CM Bhagwant Mann is six years old, shared with misleading claim",https://perma.cc/G9DC-4U67,Fb user: Nitish Yadav Kannauj,"The arrest of Manish Sisodia, a descendant of Maharana Pratap, has hurt this man the most",Politics,Bhagwant Mann,English 
Ashish Maharishi,2nd Mar 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-image-of-three-cheetahs-is-not-of-kuno-national-park-shared-with-false-claim/,"Fact Check: Viral image of three cheetahs is not of Kuno National Park, shared with false claim",https://perma.cc/W7J3-7BVT,Fb user: Vijay Dongre,"How these leopards are sitting like the three lions of Ashoka, the symbol of India",wildlife,Cheetah,English 
Ashish Maharishi,1st Mar 2023,https://www.vishvasnews.com/english/world/fact-check-nepal-did-not-include-gautam-buddhas-picture-on-their-currency-viral-claim-is-fake/,"Fact Check: Nepal has not put Gautam Buddha’s picture on its currency, viral claim is fake",https://perma.cc/UKS2-SEXZ,Fb user: Sanskari Ladka,I thank the country of Nepal from the bottom of my heart. Who included Gautam Buddha in its currency.,nepal currency,Nepal,English 
Sharad Prakash Asthana,25th Feb 2023,https://www.vishvasnews.com/english/politics/fact-check-circular-warning-employees-who-criticise-govt-is-from-jk-not-punjab/,"Fact Check: Circular warning employees who criticise govt is from J&K, not Punjab",https://www.facebook.com/gautam.mittal.311/posts/1661611684267609,Fb user: Gautam Mittal,Punjab govt issues circular warning against employees who criticise govt,government officials criticizing government policies,Arvind Kejariwal,English 
Devika Mehta,27th Feb 2023,https://www.vishvasnews.com/english/viral/fact-check-dont-click-viral-link-that-misuses-boat-brands-name-its-a-scam/,Fact Check: Don’t click viral link that misuses Boat brand’s name; it’s a scam,https://www.facebook.com/photo/?fbid=100365496320687&set=bc.Abp6uCJ_IRB7RIgOTFOjtZY6GZfY2jUpfbxKPa0fNFFOC_jKq0FO0QlYmCIXNrg64HTsKGthy-CimREmNY5fMMVQdfEreNm8ZJq-Wqt-V0QJrCPjW4QXEvRSLcNc_ghYPu-covLDrZT3vVUyCkxlxttZ&opaqueCursor=AboApg1bMY7pEU3XYnv44ERNduw-K06SFTBFHOdzgayTqwbt7Ti_lwG2oPWBmDEai7B9CNpYVq7Hep2hW07To-W1Zo9VCyheLogNIDLkvr5LeFleRGrqyjM3_NxH7ACLr1wckVonN76RpwDy9oa0xCkiNCzMjLyYcKbcHRh8qoJ-6hR_ks6yN1YhZJ6ECejMzKhjoQi80XzyGSkB7EGhaCuCXWJo3qNtP1bO4D_B4CiTsJURtXUpfAJYRlyhd17GyRa63CY8V2oJzMGSXV6nR24vHH-15f4laF8aBNZNbgzZvXffQ8l6H3PXpx7d4kXU4uGmGe5dhycz2X-B962iAbbTu_f-u5juBQjVZwH6LGOU4t9HbE5Mxl8d9AeCUMRsqKj-a4cPtG0Pxcv9FAwuVXHXDeS9YZTkCzdN2W2NiKoT1jsP5Gk79KaMSPFexTHRONYChQOZSRB5JRMeRVMnm_PAtusWofp3e4NvJFOtTGRdy9wvyjWtmyFMFbmtm6EwxgGhH_8dvBdN407z6HnZXCiQtjuzGPot0XgK4prnwoVFXeg7zNWhsizu1MSoWGPb8c_2MRZN5XRbPMerxZV-OooroNTYijRu15c2KYfibl6PtBVzMvg6yAGMvi0LZlL9JXNenn9wTmIKP56vDwhf2aHCtNonWkp03r5aMIafiUXli8YP6UfMoC-2BIiN4TRLEPU,Fb User: Blogging,Boat brand is offering many discounted deals through a new link,Boat,NA,English 
